borough	leggi_year	domestic_coal	domestic_electricity	domestic_gas	domestic_oil	domestic_total	industrial_and_commercial_coal	industrial_and_commercial_electricity_w_o_rail	industrial_and_commercial_gas	industrial_and_commercial_oil	industrial_and_commercial_total	industrial_and_commercial_waste_and_renewables	total_total	transport_aviation	transport_railways_diesel	transport_railways_electric	transport_road_transport	transport_shipping	transport_total	gss
Barking and Dagenham	2016	1.638055575	82.08918024	135.7426749	0.703744705	220.1736554	0.058430573	113.167804	40.40169336	29.16333465	175.8500668	6.907071647	553.4554877	0	1.611013283	13.84826734	137.2718814	4.700603381	157.4317654	E09000002
Barking and Dagenham	2017	1.931094284	72.53736757	144.8622418	0.654757225	219.9854609	0.054220156	108.1861848	41.29043843	29.07633239	172.9664158	6.859645443	561.3771768	0	1.585079582	12.50040545	149.6565407	4.683274358	168.4253001	E09000002
Barking and Dagenham	2015	1.811288974	103.5894041	128.7642198	0.695414825	234.8603277	0.239356206	133.037711	42.85790049	39.2032441	221.7575123	6.419300479	612.8021472	0	1.705768264	17.29905141	130.6904308	6.48905669	156.1843072	E09000002
Barking and Dagenham	2011	1.681572978	138.596063	136.986029	0.684907912	277.948573	3.196673902	187.4094936	42.62172663	42.57678128	275.8046755	0	716.4796918	0	3.147010376	25.27152026	134.0141344	0.293778308	162.7264433	E09000002
Barking and Dagenham	2013	1.797591426	135.1094878	150.1203527	0.677877886	287.7053099	4.554095168	185.8880687	42.13354256	31.04708644	266.8007617	3.177968833	720.2595671	0	3.475433097	25.69612528	136.2881588	0.293778308	165.7534955	E09000002
Barking and Dagenham	2014	1.703833367	122.6202762	140.2085504	0.689921138	265.2225811	4.12177011	121.1313595	42.28886457	40.04950516	217.4513627	9.859863359	644.0883482	0	1.705768264	19.99538776	133.3444967	6.368751648	161.4144044	E09000002
Barking and Dagenham	2010	1.816098816	149.5826148	167.8915773	0.713984192	320.0042751	3.203446517	222.1775638	44.9767287	46.40485416	316.7625932	0	799.4933117	0	3.147010376	25.27152026	134.0141344	0.293778308	162.7264433	E09000002
Barking and Dagenham	2012	1.622223343	136.5475913	148.8970814	0.691369308	287.7582653	3.136387239	193.1685202	42.85286224	40.07465051	279.2324202	0	729.7171289	0	3.147010376	25.27152026	134.0141344	0.293778308	162.7264433	E09000002
Barnet	2011	1.313605244	316.4611381	399.0219232	2.355178623	719.1518452	0.853349389	228.2875795	96.77280764	9.655978461	335.569715	0	1477.064889	0.22499158	6.499300709	41.39932148	374.2197153	0	422.3433291	E09000003
Barnet	2017	1.845297896	171.5542868	415.4746032	2.186340236	591.0605282	0.638064684	137.0056741	103.0346999	15.75706566	240.6903776	6.632984844	1250.835756	0.222724789	5.036251157	22.37811153	391.4477632	0	419.0848507	E09000003
Barnet	2010	1.420434586	341.5083457	485.657769	2.507021415	831.0935707	0.78223694	253.3829438	119.8080646	10.97256098	384.9458063	0	1638.382706	0.22499158	6.499300709	41.39932148	374.2197153	0	422.3433291	E09000003
