GSS,NAME,ward_name,population__2015,children_aged_0_15__2015,working_age_16_64__2015,older_people_aged_65__2015,pc_all_children_aged_0_15__2015,pc_all_working_age_16_64__2015,pc_all_older_people_aged_65__2015,mean_age__2013,median_age__2013,area__square_kilometres,population_density_persons_per_sq_km__2013,pc_bame__2011,pc_not_born_in_uk__2011,pc_english_is_first_language_of_no_one_in_household__2011,general_fertility_rate__2013,male_life_expectancy_2009_13,female_life_expectancy_2009_13,pc_children_in_reception_year_who_are_obese__2011_12_to_2013_14,pc_children_in_year_6_who_are_obese_2011_12_to_2013_14,rate_of_all_ambulance_incidents_per_1_000_population__2014,rates_of_ambulance_call_outs_for_alcohol_related_illness__2014,number_killed_or_seriously_injured_on_the_roads__2014,in_employment_16_64__2011,employment_rate_16_64__2011,number_of_jobs_in_area__2013,employment_per_head_of_resident_wa_population__2013,rate_of_new_registrations_of_migrant_workers__2011_12,median_house_price____2014,number_of_properties_sold__2014,median_household_income_estimate_2012_13,number_of_household_spaces__2011,pc_detached_houses__2011,pc_semi_detached_houses__2011,pc_terraced_houses__2011,pc_flat_maisonette_or_apartment__2011,pc_households_owned__2011,pc_households_social_rented__2011,pc_households_private_rented__2011,pc_dwellings_in_council_tax_bands_a_or_b__2015,pc_dwellings_in_council_tax_bands_c_d_or_e__2015,pc_dwellings_in_council_tax_bands_f_g_or_h__2015,claimant_rate_of_key_out_of_work_benefits_working_age_client_group__2014,claimant_rate_of_housing_benefit_2015,claimant_rate_of_employment_support_allowance__2014,rate_of_jobseekers_allowance_jsa_claimants__2015,pc_dependent_children_0_18_in_out_of_work_households__2014,pc_of_households_with_no_adults_in_employment_with_dependent_children__2011,pc_of_lone_parents_not_in_employment__2011,id2010__rank_of_average_score_within_london__2010,id2010_pc_of_lsoas_in_worst_50pc_nationally__2010,average_gcse_capped_point_scores__2014,unauthorised_absence_in_all_schools_pc__2013,pc_with_no_qualifications__2011,pc_with_level_4_qualifications_and_above__2011,a_level_average_point_score_per_student__2013_14,a_level_average_point_score_per_entry_2013_14,crime_rate__2014_15,violence_against_the_person_rate__2014_15,deliberate_fires_per_1_000_population__2014,pc_area_that_is_open_space__2014,cars_per_household__2011,average_public_transport_accessibility_score__2014,pc_travel_by_bicycle_to_work__2011,turnout_at_mayoral_election__2012
E05000251,Askew,,14300,2550,10550,1200,17.8084108879715,73.8296830172836,8.36190609474495,34.1,33,0.8,17562.5,37,42.5,14.8,59.25,80.1308625697906,84.002134980095,9.54907161803713,21.6393442622951,109.172164290275,0.473442816984761,0,7621,71.8149264983038,2000,0.18957345971564,48.1818181818182,499999.5,198,38450,6470,1.5,4.1,16.2,78.1,31.7,34.8,29.5,7.65625,77.8125,14.53125,15.4,17.5339771101574,5.91800018937601,4.68176641781602,17.258064516129,5.74270131536734,49.3408662900188,178,100,312.818404907975,1.589358245329,13.7,45.1,667.997402597403,207.296103896104,75.43072245548,23.006993006993,0.141874157622189,3.60152397905885,0.517163939685595,3.5950445959706,8.86858025485906,39.4982896237172
E05000232,Cazenove,,13800,4050,8850,850,29.2776769509982,64.4210526315789,6.30127041742287,29.6,29,0.7,19214.3,43.3,36.4,16.4,97.7464788732394,83.5526116574632,86.7185107660138,12.1212121212121,24.468085106383,62.5313014237676,0.382348255536084,1,5744,64.8014440433213,1800,0.202247191011236,39.5973154362416,375000,77,38130,4860,2,4.7,15.8,77.7,25.7,33.8,37.2,34.7022587268994,54.2094455852156,11.088295687885,14.3,22.2478443954281,4.67394976911814,3.38384581432985,11.6304347826087,7.1609098567818,49.1725768321513,110,100,320.363829787234,0.80615763546798,23.5,35.6,624.258865248227,206.063829787234,49.7467100607658,16.289343919354,0,12.8219665128817,0.435551811288964,4.74990867331888,12.4012366884232,33.9495798319328
E05000605,Leytonstone,,13450,2350,10000,1050,17.6080970454715,74.4362580933244,7.95564486120414,34.5,32,1.3,10269.2,47.6,42.6,15.4,69.0909090909091,80.5592982355635,80.890357280636,9.94623655913978,17.7700348432056,103.803131991051,0.999701581617428,2,6887,70.2611711895532,3800,0.381909547738693,102.25988700565,345000,167,38700,4980,3.5,11.6,30.2,54.7,44.5,15.4,37.4,36.3273453093812,60.0798403193613,3.59281437125748,13.2,8.8445339681377,3.56425702811245,2.12765957446809,13.7254901960784,3.80952380952381,42.4920127795527,150,100,316.633333333333,1.00418060200669,15.1,40.8,681.503157894737,208.367368421053,89.8032737648296,29.2193308550186,0.52199850857569,5.78811442723751,0.70703933747412,5.47823773267071,2.92305487892248,34.721364141851
E05000063,Woodhouse,,18700,3500,12650,2550,18.5999251296861,67.6453286271993,13.7547462431146,37.9,36,2.6,6846.2,37.6,41,16.2,50.4878048780488,81.9283118294792,83.9852750700485,9.10891089108911,20.8333333333333,145.907668661141,0.437700612780858,2,8568,72.0121028744327,5900,0.479674796747967,28.5106382978723,370000,243,38220,7029,4,25.5,22.7,47.8,57.6,11.5,28.6,6.21468926553672,73.3050847457627,20.4802259887006,10.6,9.99187102018697,3.7636130685458,1.93699663574269,11.3253012048193,4.86533449174631,42.9090909090909,438,30,356.688607594937,0.791827637444279,15.7,41.3,696.46641221374,218.112977099237,69.2599620493359,15.9358288770053,0.164681341603996,19.2913285374963,0.982479003764842,2.877864050744,1.97650779308787,36.7444768653606
E05000449,New Cross,,17650,3550,13150,1000,20.0418954877427,74.4267678197362,5.53133669252109,31.8,30,1.8,9305.6,59.7,46.6,15.3,55.5555555555556,74.3071583850556,77.6301590012729,15.6040268456376,27.4725274725275,151.77909562639,1.3380017506565,2,7520,64.6159133871799,5500,0.44,69.1666666666667,242000,217,31520,6719,2.3,5.6,18.9,73.1,25.4,40.5,31.6,57.617728531856,42.2437673130194,0.138504155124654,14.3,18.4857571214393,5.33406011524685,4.41390099452453,24.2857142857143,8.0139902676399,47.0658682634731,145,100,299.0064,1.1937531742001,17.9,34.7,583.121929824561,193.757894736842,108.535425582501,34.6742209631728,0.617741536940944,16.4801266410156,0.452858880778589,4.44076679659136,4.92364402317009,30.6228741496599
E05000101,Sudbury,,15250,3250,10350,1700,21.1143119025795,67.7622102919995,11.123477805421,35.1,33,2.1,7238.1,77.3,62.2,28.4,78.8405797101449,78.6836241055669,84.0608609403394,10.5536332179931,25.9023354564756,102.549019607843,0.837812203604173,3,6931,67.3959548813691,2700,0.262135922330097,83.6363636363636,249950,91,33530,4944,9.9,25,20.8,44.3,50.5,15,32.6,6.37065637065637,89.1891891891892,4.44015444015444,12,11.9148936170213,3.58318806895216,2.33457844183565,11.8421052631579,5.14144125542019,42.0289855072464,276,100,331.16821192053,0.973571428571429,18.1,32.3,686.956097560976,210.016260162602,51.493373772005,18.0983606557377,0,34.5687671244868,0.875903365682428,3.29971788926589,1.11629221421506,32.433011789925
E05000053,Golders Green,,24950,6400,16050,2500,25.6334188582425,64.29201411161,10.0745670301475,33,30,3,7150,34.2,45.8,17.5,63.2075471698113,80.35087370383,82.8859934649011,8.70917573872473,16.4359861591695,107.092126623377,0.427350427350427,6,7635,66.6928721174004,6200,0.447653429602888,66.0550458715596,555250,128,40800,6373,11.2,39.5,11.9,37.3,49.4,13.3,34.7,14.0060240963855,53.4638554216867,32.5301204819277,12.7,13.5739401578982,3.77194739301689,2.18340611353712,7.734375,5.31361715957101,57.6923076923077,430,36.3636363636364,342.063970588235,0.985771992818672,16.4,37.4,739.884955752212,226.66814159292,61.3096065619352,11.3426853707415,0.152191558441558,14.5749382071795,0.962300942476438,3.40328267946418,1.67358751730213,37.3097635214236
E05000163,Shirley,,14700,2900,9100,2700,19.6715726355955,61.8969746524939,18.4314527119106,39.9,40,2.8,5214.3,30.9,19.7,3.9,60,81.1280449107721,87.2510675440854,9.12863070539419,20,92.5862423702078,0.254688585320676,5,6476,72.2687200089276,1800,0.198895027624309,9.65909090909091,320000,201,39500,5670,15.5,42.3,16.9,25.3,73.7,18.5,6.6,4.37828371278459,74.2556917688266,21.3660245183888,11.3,8.23913811374073,3.31381862366067,1.72537742631201,15.7746478873239,5.47798066595059,42.057761732852,444,22.2222222222222,319.242372881356,0.961736334405145,19.1,27.1,656.48253968254,209.245238095238,44.1004471964224,15.0340136054422,0.617241615801385,16.0333247875051,1.24973147153598,1.96572895675595,1.06065132954885,39.9336650082919
E05000140,Kilburn,,12350,2200,8750,1450,17.6951071572988,70.7399919126567,11.5649009300445,36.1,33,0.7,17500,40.1,47.9,18.7,61.5151515151515,76.7519279787478,80.269306177876,13.4366925064599,22.0820189274448,157.680250783699,0.995201706060068,2,5745,66.7712691771269,3900,0.448275862068966,60.1156069364162,468000,165,34730,6015,0.8,2,5,92.2,22.6,42.1,32.8,36.4500792393027,55.4675118858954,8.0824088748019,16.3,23.934956257132,8.47748883033566,3.95778364116095,31.9230769230769,6.73845085098993,56.0165975103734,131,100,313.991333333333,0.79389193422083,17.4,43.8,660.860784313726,202.548039215686,110.732814526589,29.1497975708502,0.0783699059561129,13.4460074154411,0.365578325807572,5.54446425430273,4.37894019424093,34.6265505410399
E05000531,Twickenham Riverside,,10650,2000,7250,1350,18.9634088985044,68.1121249176935,12.9244661838021,38.2,37,2,5325,10.3,26.8,7.2,66.1224489795918,81.7396226706078,83.7779900581579,3.21428571428571,7.56756756756757,103.663071773894,1.55555555555556,1,5916,80.7094133697135,8400,1.15862068965517,17.1052631578947,458725,212,51350,5057,4.6,14,20.6,60.2,57.5,6.2,34.3,5.14851485148515,60.1980198019802,34.6534653465347,3.9,4.14012738853503,1.58642571389157,0.89126559714795,3.11111111111111,1.52483000206058,38.2352941176471,601,0,366.077941176471,0.773076923076923,6.2,63.8,806.134615384615,219.855769230769,66.7105758374106,20.18779342723,0.278914094458907,37.7852812102198,0.922728209355038,4.54623304077881,4.8186867036916,41.7340666450987
