year	population	unit
2016	65648054	UK
2015	65110034	UK
2014	64596752	UK
2013	64105654	UK
2012	63705030	UK
2011	63285145	UK
2010	62759456	UK
2009	62260486	UK
2008	61823772	UK
2007	61319075	UK
2006	60827067	UK
2005	60413276	UK
2004	59950364	UK
2003	59636662	UK
2002	59365677	UK
2001	59113016	UK
2000	58886100	UK
1999	58684400	UK
1998	58474900	UK
1997	58314200	UK
1996	58164400	UK
1995	58024800	UK
1994	57862100	UK
1993	57713900	UK
1992	57584500	UK
1991	57438700	UK
1990	57237500	UK
1989	57076500	UK
1988	56916400	UK
1987	56804000	UK
1986	56683800	UK
1985	56554000	UK
1984	56409300	UK
1983	56315700	UK
1982	56290700	UK
1981	56357500	UK
1980	56329700	UK
1979	56240100	UK
1978	56178000	UK
1977	56189900	UK
1976	56216100	UK
1975	56225700	UK
1974	56235600	UK
1973	56222900	UK
1972	56096700	UK
1971	55928000	UK
1970	55632200	UK
1969	55460600	UK
1968	55213500	UK
1967	54959000	UK
1966	54642700	UK
1965	54349500	UK
1964	53990800	UK
1963	53624900	UK
1962	53291800	UK
1961	52807400	UK
1960	52372500	UK
1959	51956300	UK
1958	51652500	UK
1957	51430200	UK
1956	51183500	UK
1955	50946100	UK
1954	50764900	UK
1953	50592900	UK
1952	50429200	UK
1951	50286900	UK
1950	50381500	UK
1949	50331000	UK
1948	50033200	UK
1947	49538700	UK
1946	48987800	UK
1945	48668900	UK
1944	48459600	UK
1943	48261600	UK
1942	44323000	UK
1941	44870400	UK
1940	46029200	UK
1939	47547700	UK
1938	47494100	UK
1937	47288600	UK
1936	47081300	UK
1935	46868500	UK
1934	46666000	UK
1933	46520000	UK
1932	46335000	UK
1931	46073600	UK
1930	45888900	UK
1929	45731000	UK
1928	45622200	UK
1927	45432000	UK
1926	45217600	UK
1925	45040000	UK
1924	44885600	UK
1923	44563100	UK
1922	44331500	UK
1921	43904100	UK
1920	43646400	UK
1919	42944100	UK
1918	39582000	UK
1917	39780700	UK
1916	40536300	UK
1915	41361500	UK
1914	42956900	UK
1913	42582300	UK
1912	42373600	UK
1911	42189800	UK
1910	44915900	UK
1909	44519500	UK
1908	44123800	UK
1907	43737800	UK
1906	43361100	UK
1905	42980800	UK
1904	42611400	UK
1903	42246600	UK
1902	41892700	UK
1901	41538200	UK
1900	41154600	UK
1899	40774300	UK
1898	40380800	UK
1897	39987300	UK
1896	39599100	UK
1895	39221100	UK
1894	38859100	UK
1893	38490300	UK
1892	38134100	UK
1891	37802400	UK
1890	37484800	UK
1889	37178900	UK
1888	36881300	UK
1887	36599100	UK
1886	36313600	UK
1885	36015500	UK
1884	35724200	UK
1883	35449700	UK
1882	35206600	UK
1881	34934500	UK
1880	34622900	UK
1879	34304000	UK
1878	33943800	UK
1877	33575900	UK
1876	33200000	UK
1875	32838800	UK
1874	32501500	UK
1873	32177600	UK
1872	31874200	UK
1871	31484700	UK
1861	28917900	UK
1851	27368800	UK
2016	58381217	England_Wales
2015	57885413	England_Wales
2014	57408654	England_Wales
2013	56948229	England_Wales
