country_code	gb_xpd_rsdv_gd_zs	iq_cpa_envr_xq	ms_mil_xpnd_gd_zs	ny_gdp_mktp_cd	ny_gdp_pcap_pp_cd	ny_gnp_mktp_pp_cd	sh_sta_airp_p5	sh_sta_mmrt_ne	sh_sta_traf_p5	sh_xpd_chex_gd_zs	si_pov_dday	si_pov_mdim	si_pov_mdim_xq	sp_dyn_le00_in	sp_dyn_tfrt_in	sp_pop_0014_to_zs	sp_pop_65up_to_zs	year
ABW				2765363128.49162	36444.2620573183	3641308245.23705								75.583	1.834	19.1117235531058	11.7071713531328	2014
AFG		2.5	1.29801287790022	20484885119.7348	2069.42464180385	69050351843.9249				9.52887821				62.966	5.163	45.6405891930531	2.45157487112833	2014
AGO			4.69845451564414	145712200312.505	8179.29600657648	206980822098.846				2.43412876				58.776	5.864	47.1771593108235	2.303043908125	2014
ALB			1.34651599128914	13228144008.3428	11259.2462059653	32829902894.5929				5.50349331	1.6			77.813	1.688	19.220282394292	12.1806922958735	2014
AND				3271808157.30039						5.97912455								2014
ARB		2.7	6.33990394974877	2894391168409.53	16219.840282164	6277282118585.71				4.58282403419176				71.0642924201872	3.40205868806614	33.1134808641075	4.24490648490124	2014
ARE	0.6936		5.64365135247024	403137100068.074	73619.1005840251	679448062185.081				3.63020706	0			77.095	1.595	13.9280944848562	0.904703893728956	2014
ARG	0.59396		0.878100919364039	526319673731.638	19683.7715056442	821363404158.217				9.67129993	0.9			75.913	2.312	25.3681294857948	10.6164006618491	2014
ARM	0.24151		3.94337826474581	11609512939.7543	10036.8898405952	30546350169.5526		21		10.17827797	1.5	31.9		74.273	1.732	19.8677452239709	10.8393429631621	2014
ASM				642000000														2014
ATG				1249733333.33333	19039.0045029811	1676616005.88215				5.87269974				76.349	2.001	22.8927637691493	7.96115036408029	2014
AUS			1.77221079788674	1467483705131.74	46880.2206571585	1071746498596.55				9.03597069	0.5			82.3	1.826	18.8832384093454	14.5653171853498	2014
AUT	3.08429		0.747780095379783	441996131736.508	48799.7154676985	417609480255.935		8		10.36809254	0.2	19.2		81.490243902439	1.46	14.174134269909	18.6596177413585	2014
AZE	0.20978		4.55501312398224	75244294275.1498	17443.8782563093	160621518912.437		14		3.37713742				72.022	1.97	22.75668020462	5.68911745070444	2014
BDI		3	2.11909037099703	2705783272.07443	777.041557228105	7630235753.1728				6.88927555				59.665	5.797	45.4436826837543	2.08236259382207	2014
BEL	2.38729		0.978038254717854	534678075827.361	44929.685593416	514186705056.397		5		10.44007111	0.1	21.2		81.2878048780488	1.74	16.9768450538092	17.9771720232834	2014
BEN		3.5	0.957933118033128	13284528654.0574	2833.41192647339	29012509444.3848		512		2.66743684				60.345	5.116	43.2417853327998	3.22829820302514	2014
BFA	0.22183	4	1.43128834716587	13943016923.9017	1692.30439694524	28468442315.1301				5.62491322	43.8			59.45	5.521	45.767236835147	2.42328143418384	2014
BGD		3	1.27941246310601	172885454931.453	3367.99552513598	555106922287.902				2.49601078				71.231	2.152	29.8125546807414	5.07423559635511	2014
BGR	0.79377		1.31572602185736	56901994980.3283	17561.3040831591	125765661562.087		7		7.7096777	1.6	40.1		74.4658536585366	1.53	14.0938295909019	19.661890741005	2014
BHR	0.10116		4.41858946070427	33387712765.9574	51101.9005266201	64937397694.8038		9		4.40681839				76.624	2.078	20.674962109163	2.29485620193477	2014
BHS				11111600000	33154.0049145014	11803438328.4279				5.67255783				72.847	1.794	24.5593349755688	6.55635089158278	2014
BIH	0.25725		1.0258268786089	18558343508.3435	11433.162610045	40136385245.9785		0		9.47516823				76.723	1.303	15.2304137870627	14.3446277467222	2014
BLR	0.50548		1.28256299666155	78813839984.3506	18955.907025082	173994190973.455		1		5.38793373	0			72.9707317073171	1.696	15.9395805755781	14.2029753804576	2014
BLZ			1.17645573033684	1662800000	7170.52946398798	2323837806.54418		0		6.10395241				73.782	2.489	32.8161170005037	4.32695845101113	2014
BMU	0.21586			6413988000	68775.4467426718	4650207512.13465								80.7973170731707	1.63			2014
BOL		3.5	1.89684061027999	32996188012.6821	7056.82836431613	71666096548.3735				5.89613628	5.7			69.891	2.947	32.8477225600071	6.62352658665745	2014
BRA	1.27131		1.330244423168	2455993625159.37	15718.5656477083	3127764536961.12		61		8.39624977	2.7			74.745	1.758	22.8674911148684	7.74188919449744	2014
BRB				4696500000	15175.4956415237	4140648057.77415				6.99789667				78.717	1.62	18.6043408958452	14.337525366364	2014
BRN			3.08686095781185	17098342541.4365	81373.018073832907	33313972350.9287		0		1.91436803				75.193	1.969	24.4767173700304	3.87608628275931	2014
BTN		4		1907090813.45907	8666.41956699771	5790544513.85152				3.4689173699999998				70.046	2.067	28.028314941138	5.64212751458512	2014
BWA			2.13085965383918	16250781586.6579	16300.8685335942	33058095795.822		201		5.59789324				66.265	2.988	34.9304181042201	3.72078570614636	2014
CAF		2	2.25538963975128	1894813504.52945	720.3234642228	3249088436.38074				4.90981197				50.129	5.007	45.1005840944855	2.88787961941456	2014
CAN	1.71824		0.992270560043976	1803533209844.65	45753.7505547994	1595196682591.57		5		10.25013065				81.8	1.5818	16.0615434965187	15.6233662776347	2014
CEB	1.09037274986886		1.41800858920423	1464899669967.39	24969.8943615227	2504298390154.89				6.57465383373747				76.6756236113045	1.44318176425587	14.8961200382606	16.5317825560489	2014
CHE			0.650436035326095	709182559935.301	61902.1624060426	509076700726.579		4		10.99387455	0			83.1975609756098	1.54	14.7858969568859	17.8004465511951	2014
CHI														82.252	1.556	15.5594149908592	16.3180987202925	2014
CHL	0.37503		1.95852671332671	260541629960.664	22786.6556023986	389162444827.984		16		7.80729866				79.504	1.787	20.8190074654714	10.291577338514	2014
CHN	2.02963		1.90584810515868	10475682920594.5	12549.7718312938	17143013848523				4.77322769	1.4			75.629	1.656	18.1343618544823	8.96639740486212	2014
